unique_id,roi,num_nan,num_voxel,pct_nan,exclude
ds006239_sub-1247,Left TP,479,2096,22.85,TRUE
ds001486_sub-0020,Left vOT,941,3014,31.22,TRUE
ds001486_sub-0037,Left vOT,2135,3014,70.84,TRUE
ds001486_sub-0114,Left vOT,1827,3014,60.62,TRUE
ds001894_sub-0051,Left vOT,1315,3014,43.63,TRUE
ds001894_sub-0151,Left vOT,738,3014,24.49,TRUE
ds002236_sub-0005,Left vOT,828,3014,27.47,TRUE
ds002236_sub-0014,Left vOT,683,3014,22.66,TRUE
ds002236_sub-0018,Left vOT,736,3014,24.42,TRUE
ds002236_sub-0027,Left vOT,705,3014,23.39,TRUE
ds002236_sub-0030,Left vOT,715,3014,23.72,TRUE
ds002236_sub-0041,Left vOT,614,3014,20.37,TRUE
ds006239_sub-1247,Left vOT,657,3014,21.8,TRUE
